,source,target,type,url,content
159,BOSCH SECURITY,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/bosch-security-systems-b.v/bosch-object-detection--ai-alarm-verification/,
160,BOSCH SECURITY,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/bosch,
161,BOSCH SECURITY,Cameras,est fabriquant de,https://www.genetec.com/partners/partner-integration-hub/bosch,
162,BOSCH SECURITY,VSA - traffic,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/bosch/video-analytics-its,
163,BOSCH SECURITY,THEMYS,a pour client,https://www.themysgroup.com/our-solutions-cctv-et-optronics-w1.html,
164,BRIEFCAM,UGAP,est fourni par,https://www.ugap.fr/canon-f17548,
165,BRIEFCAM,CANON,a pour actionnaire,https://www.ugap.fr/canon-f17548,
166,BRIEFCAM,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam,
167,BRIEFCAM,Analyse vidéo,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam|fiche_17548_BriefCamV6_FR_\(1\).pdf,
168,BRIEFCAM,reconnaissance faciale,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam|fiche_17548_BriefCamV6_FR_\(1\).pdf,
169,CABINET D’AVOCATS DU MANOIR DE JUAYE,AN2V,est membre,https://an2v.org/membres/,
170,CAMTRACE,AN2V,est membre,https://an2v.org/membres/,
171,CAP SECURITE,AN2V,est membre,https://an2v.org/membres/,
172,CASD,AN2V,est membre,https://an2v.org/membres/,
173,CASD,UGAP,est fourni par,https://www.ugap.fr/casd-f17224,
174,CASD,vidéo verbalisation,fonctionnalité,fiche_17224_CASD_plaquette.pdf,
175,CASD,VMS - hyperviseur,fonctionnalité,https://www.ugap.fr/casd-f17224,
176,CASD,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
177,CEIS,THALES,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821,
178,CEIS,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=813595477,
179,CELLEBRITE,UGAP,est fourni par,https://www.ugap.fr/cellebrite-f16984,
180,CELLEBRITE,exploitation téléphone portable,fonctionnalité,https://fr.wikipedia.org/wiki/Cellebrite,
181,CELLHIRE,AN2V,est membre,https://an2v.org/membres/,
182,CHAPSVISION,AN2V,est membre,https://an2v.org/membres/,
183,CHAPSVISION,HATVP,fait du lobbbying,https://www.hatvp.fr/fiche-organisation/?organisation=890232788#&fiche=UHQ7N0FV,
184,CHAPSVISION,Marché JOP,a candidaté,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
185,CHAPSVISION,UGAP,est fourni par,https://www.ugap.fr/flandrin-f17411,
186,CHAPSVISION,VSA,fonctionnalité,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
187,CHAPSVISION,Logiciel d'investigation,fonctionnalité,https://www.ugap.fr/flandrin-f17411,
188,CHAPSVISION,IMSI Catchers,fonctionnalité,https://www.ugap.fr/flandrin-f17411,
189,CHOUETTE CONSULTING,AN2V,est membre,https://an2v.org/membres/,
